211;118974179RR0001;JEWISH COMMUNITY FOUNDATION OF MONTREAL/LA FOUNDATION COMMUNAUTAIRE JUIVE DE MONTREAL
212;118974195RR0001;JEWISH CULTURAL ASSOCIATION OF MONTREAL ASSOCIATION CULTURELLE JUIVE DE MONTREAL
213;118974823RR0001;JOHN BAKER FELLOWES FAMILY FOUNDATION
214;118988310RR0001;LA FONDATION COMMUNAUTAIRE DE LACHINE/THE LACHINE COMMUNITY FOUNDATION
215;119000248RR0001;LA FONDATION CARITAS-SHERBROOKE INC.
216;119000255RR0001;LA FONDATION CENTENNALE-THE CENTENNIAL FOUNDATION
217;119000321RR0001;LA FONDATION D'AIDE AUX PARENTS D'ENFANTS HANDICAPES (F.A.P.E.H.) INC.
218;119000503RR0001;FONDATION - ACTION SANTE DE LA MATAPEDIA
219;119000529RR0001;Fondation de l'Hôpital de Memphrémagog/Memphremagog HospitalFoundation
220;119000537RR0001;LA FONDATION DE L'UNIVERSITE LAVAL
221;119000735RR0001;FONDATION DIOCESAINE L'ASSOMPTION (MONTRÉAL)
222;119000842RR0001;LA FONDATION DU CENTRE DE SANTÉ ET SERVICES SOCIAUX DE L'ÉNERGIE
223;119000867RR0001;LA FONDATION DU CENTRE DE SANTÉ DE LA MRC-DE-COATICOOK INC.
224;119000958RR0001;LA FONDATION DU LAC POUCE INC.
225;119000966RR0001;LA FONDATION DU MONT NOTRE-DAME DE SHERBROOKE INC.
226;119000974RR0001;LA FONDATION DE L'HÔPITAL GÉNÉRAL DE MONTRÉAL - THE MONTREAL GENERAL HOSPITAL FOUNDATION
227;119001006RR0001;LA FONDATION DU PENSIONNAT DU SAINT NOM DE MARIE
228;119001055RR0001;LA FONDATION DU THÉÂTRE DU TRIDENT INC.
229;119001162RR0001;LA FONDATION GUADELOUPPE INC.
230;119001220RR0001;LA FONDATION JEAN DUCEPPE
231;119001394RR0001;LA FONDATION MAURICE PROULX INC.
232;119001428RR0001;LA FONDATION MGR GERARD-MARIE CODERRE
233;119001444RR0001;FONDS DE DEVELOPPEMENT VANGUARD/VANGUARD DEVELOPMENT FUND
234;119001451RR0001;LA FONDATION PATRO DE JONQUIERE INC.
235;119001477RR0001;FONDATION DE L'HÔPITAL DE LACHINE / LACHINE HOSPITAL FOUNDATION
236;119001576RR0001;LA FONDATION DE MA VIE
237;119001725RR0002;FONDATION DE L'UNIVERSITÉ DU QUÉBEC À TROIS-RIVIÈRES
238;119001790RR0001;Fondation des YMCA du Québec / YMCAS of Québec Foundation
239;119001808RR0001;LA FONDATION E.C.S. ECS FOUNDATION INC.
240;119007789RR0001;LA SOCIETE DUVETNOR LTEE.
241;119007888RR0001;SOCIÉTÉ D'HISTOIRE ET DE GÉNÉALOGIE DES HAUTES-LAURENTIDES
242;119009207RR0001;L'ATELIER D'ARTISANAT CENTRE-VILLE INC./THE CENTER CITY CRAFT SHOP INC.
243;119014157RR0001;LES AMIS DE L'ABBÉ RÉNE TANGUAY
244;119014397RR0001;LES AMIS DU MUSEE FRANCOIS-PILOTE INC.
245;119014819RR0001;L'ESCALE DE L'ESTRIE INC.
246;119017002RR0001;LES PARTENAIRES DU CARDINAL / THE CARDINAL'S PARTNERS
247;119018281RR0001;FONDATION CONSTANCE LETHBRIDGE/CONSTANCE LETHBRIDGE FOUNDATION
248;119058386RR0001;NOEL DU PARTAGE, INC.
249;119065241RR0001;L'OEUVRE DU FRERE ANDRE-BROTHER ANDRE FOUNDATION
250;119093706RR0001;PINE HILL CEMETERY ASSOCIATION
251;119105419RR0001;LE FONDS DE DEVELOPPEMENT DU CENTRE FRANCOIS-MICHELLE
252;119113348RR0001;RED & WHITE EDUCATIONAL FOUNDATION / LA FONDATION COLLEGIALE ROUGE ET BLANC
253;119114783RR0003;FONDATION DE L'INSTITUT DE RÉADAPTATION GINGRAS-LINDSAY -DE-MONTRÉAL
254;119125052RR0001;CLUB ROTARY DE MONTREAL FONDS DE BIENFAISANCE / ROTARY CLUB OF MONTREAL WELFARE FUND
255;119128924RR0001;LA FONDATION DE L'INSTITUT THORACIQUE DE MONTRÉAL - THE MONTRÉAL CHEST INSTITUTE FOUNDATION
256;119144186RR0001;SECOURS AUX AINES/ELDERAID
257;119144855RR0001;SEMINAIRE DE SAINT-JEAN
258;119148575RR0001;LES DAMES AUXILIAIRES DU PAVILLON ARGYLL PAVILION LADIES AU XILIARY
259;119153021RR0001;LES AMIS DU JARDIN BOTANIQUE DE MONTREAL
260;119153229RR0001;SOCIÉTÉ DE RECHERCHE SUR LE CANCER / CANCER RESEARCH SOCIETY
261;119159648RR0001;THE SPIRITUAL ASSEMBLY OF THE BAHA'IS OF TOWN OF MOUNT ROYAL
262;119189108RR0001;FONDATION DE L'HOPITAL ST. MARY'S / ST. MARY'S HOSPITAL FOU NDATION
263;119228989RR0001;THE CRB FOUNDATION-LA FOUNDATION CRB
264;119229797RR0001;THE DIABETIC CHILDREN'S FOUNDATION-LA FONDATION POUR ENFANT DIABETIQUES
265;119230860RR0001;GIANT STEPS FOUNDATION-MONTREAL / LA FONDATION A PAS DE GEANT- MONTREAL
266;119231132RR0001;THE EDUCATIONAL FOUNDATION OF THE CANADIAN SOCIETY OF PLASTIC SURGEONS INC
267;119239184RR0001;THE JEAN BELIVEAU FOUNDATION-LA FONDATION JEAN BELIVEAU
268;119243533RR0001;THE MACKAY CENTRE FOUNDATION-LA FONDATION DU CENTRE MACKAY
269;119268233RR0001;TRAFALGAR ROSS FOUNDATION/FONDATION TRAFALGAR ROSS
270;119288918RR1389;CONGREGATION DES TEMOINS DE JEHOVAH DE SHERBROOKE-HISPANA (QUEBEC)
271;119772440RR0001;THE VERITAS FUND - LE FOND VERITAS
272;120507439RR0001;ALLIANCE SYNDICATS ET TIERS-MONDE
273;120510904RR0001;FONDATION CENTRE DE SANTÉ ET DE SERVICES SOCIAUX JEANNE-MAN CE
274;120515002RR0001;LA FONDATION FRANCOIS-BOURRIN INC
275;120524533RR0001;LA FONDATION DU COLLÈGE LAFLÈCHE INC.
276;120588611RR0001;FONDATION CATHERINE DE LONGPRE
277;120590195RR0001;FONDATION DE LA JOC
278;120592803RR0001;FONDATION DU CLSC DES MILLE-ILES / CHSLD LAVAL
279;120598339RR0001;FONDATION RICHARD ADAMS INC.
280;120785951RR0001;FONDATION JEUNESSE ROLAND GAUVREAU DE LANAUDIERE
281;120794813RR0001;FONDATION MAISON L'ALCÔVE
282;120815196RR0001;FONDATION CAMPUS NOTRE-DAME-DE-FOY
283;120817564RR0001;FONDATION DES ORGANISMES COMMUNAUTAIRES DE LA RÉGION DE L'AMIANTE
284;120839022RR0001;FONDATION DU CEGEP DE LA POCATIÈRE
285;120855051RR0001;FONDATION DU CENTRE DE SANTÉ DE LA HAUTE-SAINT-CHARLES
